No,Time,Unit
2598,5:13:31,0054.2
2600,5:13:42,0054.5
2601,5:13:53,0054.2
2606,5:14:05,0054.5
2607,5:14:16,0054.2
2608,5:14:26,0054.5
2609,5:14:35,0054.2
2610,5:14:45,0054.5
2611,5:14:55,0054.2
2612,5:15:06,0054.5
2613,5:15:16,0054.2
2615,5:15:26,0054.5
2616,5:15:35,0054.2
2617,5:15:45,0054.5
2618,5:15:56,0054.2
2624,5:16:09,0054.5
2626,5:16:20,0054.2
2631,5:16:32,0054.5
2632,5:16:41,0054.2
2634,5:16:53,0054.5
2655,5:17:16,0054.2
2658,5:17:27,0054.5
2665,5:17:41,0054.2
2666,5:17:51,0054.5
2667,5:18:01,0054.2
2689,5:18:25,0054.5
2690,5:18:35,0054.2
2695,5:18:48,0054.5
2696,5:18:58,0054.2
2716,5:19:21,0054.5
2717,5:19:30,0054.2
2737,5:19:53,0054.5
2738,5:20:02,0054.2
2755,5:20:23,0054.5
2756,5:20:34,0054.2
2783,5:21:01,0054.5
2784,5:21:11,0054.2
2787,5:21:22,0054.5
2788,5:21:31,0054.2
2789,5:21:42,0053.8
2790,5:21:52,0054.2
2808,5:22:13,0054.0
2809,5:22:23,0054.2
2821,5:22:40,0054.5
2822,5:22:50,0054.2
2827,5:23:02,0054.5
2830,5:23:13,0054.2
2846,5:23:33,0054.5
2847,5:23:42,0054.2
2851,5:23:54,0054.5
2855,5:24:06,0054.7
2856,5:24:16,0056.2
2857,5:24:26,0056.4
2862,5:24:39,0056.2
2863,5:24:48,0056.4
2864,5:24:58,0055.9
2865,5:25:08,0055.7
2866,5:25:18,0055.4
2867,5:25:28,0055.2
2868,5:25:38,0054.7
2869,5:25:49,0056.4
2870,5:25:58,0056.2
2871,5:26:08,0055.9
2872,5:26:18,0055.7
2873,5:26:28,0055.4
2874,5:26:39,0055.0
2875,5:26:49,0056.4
2876,5:26:58,0056.2
2877,5:27:08,0055.9
2878,5:27:18,0055.7
2879,5:27:28,0056.4
2886,5:27:43,0056.2
2887,5:27:53,0055.9
2888,5:28:03,0055.7
2889,5:28:12,0055.4
2890,5:28:22,0055.2
2891,5:28:33,0055.0
2892,5:28:43,0054.7
2902,5:28:59,0054.5
2903,5:29:08,0054.7
2904,5:29:19,0054.5
2913,5:29:34,0054.7
2914,5:29:43,0054.5
2917,5:29:55,0054.7
2920,5:30:06,0054.5
2921,5:30:16,0054.7
2924,5:30:27,0054.5
2925,5:30:37,0056.4
2926,5:30:47,0056.7
2927,5:30:57,0056.4
2931,5:31:09,0056.2
2932,5:31:19,0055.9
2933,5:31:29,0055.7
2934,5:31:39,0055.2
2936,5:31:50,0055.4
2937,5:31:59,0055.2
2938,5:32:09,0056.2
2941,5:32:21,0055.9
2942,5:32:30,0056.4
2946,5:32:42,0056.2
2947,5:32:52,0055.9
2948,5:33:02,0055.7
2949,5:33:12,0055.4
2950,5:33:22,0055.2
2951,5:33:32,0055.4
2952,5:33:42,0055.2
2961,5:33:58,0055.0
2962,5:34:07,0055.2
2963,5:34:17,0055.0
3088,5:35:49,0054.7
3089,5:35:58,0055.0
3154,5:36:52,0055.2
3155,5:37:03,0055.0
3157,5:37:14,0055.2
3162,5:37:26,0055.0
3167,5:37:39,0055.2
3183,5:37:58,0055.4
3184,5:38:08,0056.7
3198,5:38:26,0056.4
3199,5:38:36,0056.2
3200,5:38:46,0055.9
3201,5:38:56,0055.7
3202,5:39:06,0055.4
3207,5:39:18,0055.2
3208,5:39:28,0055.9
3209,5:39:38,0056.7
3210,5:39:48,0056.4
3215,5:40:00,0056.7
