No,Time,Unit,Unit Fit
2140,4:59:14,54.0,28.249093650496377
2141,4:59:24,54.2,28.25115397376176
2142,4:59:34,54.0,28.253177593036533
2143,4:59:44,54.2,28.25516515975297
2144,4:59:54,54.0,28.257117313867774
2147,5:00:06,54.2,28.259034684061177
2166,5:00:27,54.0,28.260917887932735
2167,5:00:36,54.2,28.262767532193756
2188,5:01:00,54.0,28.26458421285652
2189,5:01:09,54.2,28.266368515420282
2205,5:01:29,54.0,28.268121015054227
2206,5:01:39,54.2,28.26984227677717
2315,5:03:01,54.0,28.271532855634383
2316,5:03:10,54.2,28.27319329687134
2347,5:03:41,54.5,28.274824136104478
2348,5:03:51,54.2,28.276425899489197
2351,5:04:02,54.5,28.27799910388483
2352,5:04:12,53.8,28.279544257016994
2353,5:04:22,54.2,28.281061857636978
2369,5:04:42,54.5,28.282552395678636
2370,5:04:51,54.2,28.284016352412394
2380,5:05:07,54.5,28.28545420059678
2381,5:05:16,54.2,28.286866404627283
2445,5:06:08,54.5,28.288253420682693
2447,5:06:19,54.2,28.28961569686897
2459,5:06:36,54.5,28.29095367336059
2460,5:06:46,54.2,28.29226778253949
2463,5:06:57,54.5,28.29355844913166
2464,5:07:07,54.2,28.294826090341346
2467,5:07:19,54.5,28.29607111598297
2468,5:07:28,54.2,28.297293928610806
2475,5:07:42,54.5,28.298494923646388
2477,5:07:53,54.2,28.299674489503673
2487,5:08:09,54.5,28.300833007712214
2488,5:08:19,54.2,28.30197085303805
2489,5:08:29,54.5,28.303088393602543
2490,5:08:38,54.2,28.304185990999272
2506,5:08:58,54.5,28.305264000408712
2508,5:09:08,54.2,28.30632277071112
2516,5:09:22,54.0,28.30736264459734
2517,5:09:32,54.2,28.308383958677815
2524,5:09:46,54.5,28.30938704358956
2527,5:09:57,54.2,28.310372224101357
2528,5:10:07,54.5,28.31133981921718
2531,5:10:18,54.2,28.312290142277753
2532,5:10:28,54.5,28.313223501060342
2533,5:10:38,54.2,28.314140197876853
2547,5:10:56,54.5,28.315040529670206
2548,5:11:06,54.2,28.315924788109037
2549,5:11:16,54.5,28.316793259680743
2550,5:11:26,54.2,28.31764622578295
2551,5:11:36,54.5,28.31848396281331
2552,5:11:46,54.2,28.3193067422578
2557,5:11:58,54.5,28.320114830777463
2558,5:12:08,54.2,28.320908490293625
2559,5:12:18,54.5,28.32168797807165
2561,5:12:29,54.2,28.32245354680319
2567,5:12:43,54.5,28.323205444687083
2568,5:12:52,54.2,28.323943915508686
2597,5:13:21,54.5,28.324669198718013
2598,5:13:31,54.2,28.32538152950636
2600,5:13:42,54.5,28.326081138881634
2601,5:13:53,54.2,28.326768253742422
2606,5:14:05,54.5,28.327443096950653
2607,5:14:16,54.2,28.32810588740307
2608,5:14:26,54.5,28.328756840101434
2609,5:14:35,54.2,28.32939616622148
2610,5:14:45,54.5,28.330024073180688
2611,5:14:55,54.2,28.330640764704818
2612,5:15:06,54.5,28.33124644089336
2613,5:15:16,54.2,28.331841298283734
2615,5:15:26,54.5,28.33242552991446
2616,5:15:35,54.2,28.332999325387142
2617,5:15:45,54.5,28.333562870927445
2618,5:15:56,54.2,28.334116349444862
2624,5:16:09,54.5,28.334659940591607
2626,5:16:20,54.2,28.335193820820336
2631,5:16:32,54.5,28.33571816344093
2632,5:16:41,54.2,28.33623313867622
2634,5:16:53,54.5,28.336738913716772
2655,5:17:16,54.2,28.3372356527747
2658,5:17:27,54.5,28.337723517136574
2665,5:17:41,54.2,28.338202665215242
2666,5:17:51,54.5,28.338673252600927
2667,5:18:01,54.2,28.339135432111334
2689,5:18:25,54.5,28.339589353840914
2690,5:18:35,54.2,28.340035165209095
2695,5:18:48,54.5,28.340473011008
2696,5:18:58,54.2,28.340903033448917
2716,5:19:21,54.5,28.341325372208296
2717,5:19:30,54.2,28.341740164472725
2737,5:19:53,54.5,28.342147544983163
2738,5:20:02,54.2,28.342547646078465
2755,5:20:23,54.5,28.342940597738014
2756,5:20:34,54.2,28.343326527623702
2783,5:21:01,54.5,28.343705561121098
2784,5:21:11,54.2,28.34407782137999
2787,5:21:22,54.5,28.34444342935403
2788,5:21:31,54.2,28.3448025038399
2789,5:21:42,53.8,28.3451551615156
2790,5:21:52,54.2,28.34550151697819
2808,5:22:13,54.0,28.345841682780737
2809,5:22:23,54.2,28.34617576946875
2821,5:22:40,54.5,28.346503885615867
2822,5:22:50,54.2,28.346826137858912
2827,5:23:02,54.5,28.34714263093244
2830,5:23:13,54.2,28.347453467702515
2846,5:23:33,54.5,28.34775874919999
2847,5:23:42,54.2,28.3480585746532
2851,5:23:54,54.5,28.348353041520014
2855,5:24:06,54.7,28.348642245519365
2856,5:24:16,56.2,28.348926280662234
